术语名,定义1来源标准,定义2来源标准,冲突类型,冲突描述
元数据,信息技术 地下管线数据交换技术要求,信息资源核心元数据,格式冲突,定义1（循环定义且缺少属概念）严重违反术语定义的写作规范，而定义2是符合规范的内涵定义。
元数据,信息技术 地下管线数据交换技术要求,科技资源核心元数据,格式冲突,定义1为循环定义且缺少属概念，违反术语定义写作规范，导致无法进行有效的内涵对比。
元数据,信息技术 地下管线数据交换技术要求,车载导航地理数据采集处理技术规程,范围冲突,定义1将术语范围限定为“本标准中已定义的”，而定义2给出了通用内涵描述，导致非本标准定义的元数据在定义1下不属于、在定义2下属于。
元数据,信息技术 地下管线数据交换技术要求,信息分类编码及元数据标准符合性测试要求,格式冲突,定义1（循环定义且缺少属概念）严重违反术语定义写作规范，而定义2是符合规范的内涵定义。
元数据,信息技术 地下管线数据交换技术要求,数字教材 中小学数字教材元数据,格式冲突,定义1（“本标准中已定义的元数据”）为循环定义，严重违反术语定义写作规范，导致无法进行有效的内涵要素对比。
元数据,信息技术 地下管线数据交换技术要求,人类生物样本中医信息基本数据集,格式冲突,定义1（循环定义且缺少属概念）严重违反术语定义写作规范，而定义2是符合规范的内涵定义。
元数据,信息技术 地下管线数据交换技术要求,基于云计算的电子政务公共平台服务规范 第3部分：数据管理,引用冲突,两个定义分别引用了本标准内部条款和外部标准GB/T 19391，依据的权威来源不同且可能导致规定矛盾。
元数据,信息技术 地下管线数据交换技术要求,全国主要产品分类 产品类别核心元数据 第1部分：描述方法,格式冲突,定义1为循环定义且缺少属概念，违反术语定义写作规范。
元数据,信息技术 地下管线数据交换技术要求,品牌评价 核心元数据规范,格式冲突,定义1（“本标准中已定义的元数据”）为循环定义，严重违反术语定义写作规范，导致无法进行有效的内涵要素对比。
元数据,信息技术 地下管线数据交换技术要求,气象观测资料汇交元数据,格式冲突,定义1为循环定义且缺少属概念，违反术语定义写作规范。
元数据,信息技术 地下管线数据交换技术要求,政府网站网页电子文件元数据,引用冲突,两个定义分别引用了不同的标准体系（本标准 vs GB/T 18391.1），且引用内容本身构成不同的规定，导致定义依据矛盾。
元数据,信息技术 地下管线数据交换技术要求,信息技术服务 治理 第5部分：数据治理规范,格式冲突,定义1（循环定义）明显违反术语定义的写作规范，而定义2是符合规范的内涵定义。
元数据,信息技术 地下管线数据交换技术要求,科技人才元数据元素集,格式冲突,定义1为循环定义且缺少属概念，违反术语定义写作规范，导致无法进行有效的内涵对比。
元数据,信息技术 地下管线数据交换技术要求,基础地理信息数据库建设规范,格式冲突,定义1为循环定义且缺少属概念，违反术语定义写作规范。
元数据,信息技术 地下管线数据交换技术要求,信息技术 大数据 面向分析的数据存储与检索技术要求,格式冲突,定义1为循环定义且缺少属概念，违反术语定义写作规范。
元数据,信息技术 地下管线数据交换技术要求,信息与文献 国家科技重大专项档案元数据元素集,格式冲突,定义1为循环定义，违反术语定义写作规范，导致无法进行有效的内涵要素对比。
元数据,信息技术 地下管线数据交换技术要求,信息技术 大数据 数据资源规划,格式冲突,定义1为循环定义，缺少属概念和可识别的种差，违反术语定义写作规范。
元数据,信息技术 地下管线数据交换技术要求,海洋数据应用记录格式,格式冲突,定义1为循环定义且缺少属概念，违反术语定义写作规范，导致无法进行有效的内涵对比。
元数据,信息技术 地下管线数据交换技术要求,基础地理信息数据质量要求与评定,引用冲突,两个定义分别引用了本标准内已定义的元数据和外部标准GB/T 19710，依据的权威来源不同且可能导致规定矛盾。
元数据,信息技术 地下管线数据交换技术要求,基础制造工艺通用元数据,范围冲突,定义1将术语外延限定为“本标准中已定义的”，而定义2采用通用概念“关于数据的数据”，导致大量对象在定义2下属于元数据，在定义1下不属于。
元数据,信息技术 地下管线数据交换技术要求,智慧城市 数据融合 第4部分：开放共享要求,格式冲突,定义1为循环定义且缺少属概念，违反术语定义写作规范，导致无法进行有效的内涵对比。
元数据,信息技术 地下管线数据交换技术要求,电子商务数据资产评价指标体系,格式冲突,定义1缺少属概念且结构失范，无法按内涵定义逻辑进行有效对比。
元数据,信息技术 地下管线数据交换技术要求,机械 科学数据 第3部分：元数据,范围冲突,定义1将术语范围限定为“本标准中已定义的”，而定义2给出了通用的内涵定义，导致大量通用元数据对象在定义1下不属于该术语，而在定义2下属于。
元数据,信息技术 地下管线数据交换技术要求,陆地国界数据规范,格式冲突,定义1为循环定义，违反术语定义写作规范，导致无法进行有效的内涵要素对比。
元数据,信息技术 地下管线数据交换技术要求,电子商务 企业核心元数据,格式冲突,定义1为循环定义且缺少属概念，违反术语定义写作规范，而定义2为符合规范的内涵定义。
元数据,信息技术 地下管线数据交换技术要求,电子商务 产品核心元数据,格式冲突,定义1为循环定义，违反术语定义写作规范，导致无法进行有效的内涵要素对比。
元数据,信息技术 地下管线数据交换技术要求,空间物体监测数据规范,格式冲突,定义1为循环定义，违反术语定义写作规范，导致无法进行有效的内涵要素对比。
元数据,信息技术 地下管线数据交换技术要求,科技平台 元数据汇交业务流程,层级冲突,定义1将元数据限定为“本标准中已定义的”，定义2将其归为“科技资源的描述性数据”，两者属概念（范畴/上位类）不同，导致层级定位冲突。
元数据,信息技术 地下管线数据交换技术要求,数字音乐元数据,格式冲突,定义1为循环定义且缺少属概念，违反术语定义写作规范。
元数据,科技平台 元数据汇交报文格式的设计规则,元数据的XML Schema置标规则,引用冲突,两个定义的内涵表述完全一致，但引用了不同的国家标准（GB/T 31075—2014 与 GB/T 18391.1—2009），且引用标准不同可能导致对术语的具体规定或应用范围存在潜在差异。
元数据,科技平台 元数据汇交报文格式的设计规则,公安物联网视频图像内容元数据描述规范,层级冲突,定义1的属概念为‘数据’，定义2的属概念为‘数据元素定义’，两者属于不同的上位概念层级。
元数据,科技平台 元数据汇交报文格式的设计规则,物联网 信息交换和共享 第3部分：元数据,范围冲突,定义1的指称对象是‘其他数据’，定义2限定为‘物联网数据及其相关信息’，导致非物联网数据在定义2下不属于元数据，而在定义1下属于，外延边界划定不同。
元数据,科技平台 元数据汇交报文格式的设计规则,信息技术 大数据 术语,范围冲突,定义2通过增加对数据拥有权、存储路径等具体属性的描述，扩展了术语“元数据”的指称对象范围，而定义1的范围相对更窄、更抽象。
元数据,科技平台 元数据汇交报文格式的设计规则,标准文献技术指标揭示数据规范,引用冲突,两个定义引用了不同且未明确说明是否兼容的权威标准集合，导致其规定依据存在潜在矛盾。
元数据,科技平台 元数据汇交报文格式的设计规则,地理空间数据交换基本要求,领域冲突,两个定义将术语“元数据”归入不同的应用领域（通用信息技术与地理空间信息），导致其属概念和本质理解不同。
元数据,科技平台 元数据汇交报文格式的设计规则,民用飞机飞行运行技术数据规范,层级冲突,两个定义将“元数据”归入不同的上位概念（属），定义1的属是“数据”，定义2的属是“信息”，导致层级定位不同。
元数据,科技平台 元数据汇交报文格式的设计规则,月球信息元数据,格式冲突,定义2缺少明确的属概念，且结构失范（循环定义），违反术语定义写作规范。
元数据,科技平台 元数据汇交报文格式的设计规则,中国标准时间 第2部分：元数据,引用冲突,两个定义的核心内涵一致，但引用了不同版本或编号的国家标准作为来源依据。
元数据,科技平台 元数据汇交报文格式的设计规则,基础零部件通用元数据,引用冲突,两个定义均引用不同国家标准（GB/T 31075—2014 与 GB/T 18391.1—2009），导致规定依据来源不同。
元数据,科技平台 元数据汇交报文格式的设计规则,图书版权资产核心元数据,范围冲突,两个定义属概念相同（均为“数据”），但定义2的种差（限定属性）范围更广，包含了定义1未提及的数据拥有权、存储路径等要素，导致指称对象的外延边界不同。
元数据,科技平台 元数据汇交报文格式的设计规则,光学遥感测绘卫星影像产品元数据,领域冲突,两个定义将术语归入不同的上位概念（‘数据’与‘信息’），且分别引用不同领域的国家标准，体现了不同学科/领域（通用信息技术与遥感测绘）对术语本质和归属的理解差异。
元数据,科技平台 元数据汇交报文格式的设计规则,地震现场应急指挥数据共享技术要求,范围冲突,定义1的指称对象是“其他数据”，定义2限定为“地震现场应急指挥共享数据”，导致后者是前者的一个真子集，外延边界不同。
元数据,科技平台 元数据汇交报文格式的设计规则,实景地图数据产品,引用冲突,两个定义分别引用了不同的国家标准（GB/T 31075—2014 与 GB/T 19710—2005），且未提供具体定义内容，依据引用来源不同可能导致规定矛盾。
元数据,科技平台 元数据汇交报文格式的设计规则,统计数据与元数据交换（SDMX） 第1部分：框架,范围冲突,定义1将元数据外延界定为‘定义和描述其他数据的数据’，而定义2通过分类（结构化/引用）限定了其指称范围，导致部分对象（如仅用于标识而非定义描述的数据）在定义2下可能属于元数据，在定义1下则不属于。
元数据,科技平台 元数据汇交报文格式的设计规则,地理信息 矢量数据模型与存储规范,格式冲突,定义2未提供内涵定义，仅描述了元数据的确定方式，缺少属概念和种差，不符合术语定义的写作规范。
元数据,科技平台 元数据汇交报文格式的设计规则,产品标签内容核心元数据,范围冲突,两个定义的核心属概念（关于数据的数据）一致，但定义2的种差（包含数据描述、拥有权、路径等具体信息）显著扩展了定义1的指称对象外延。
元数据,科技平台 元数据汇交报文格式的设计规则,信息技术 数据集成中间件,引用冲突,两个定义的核心内涵（属概念和种差）完全一致，但引用了不同的权威标准作为依据，导致规定来源不同。
元数据,科技平台 元数据汇交报文格式的设计规则,信息技术 数据质量评价指标,范围冲突,定义2在定义1的基础上，扩展了元数据的外延，增加了关于数据拥有权、存储路径等描述，导致两个定义划定的指称对象范围不同。
元数据,科技平台 元数据汇交报文格式的设计规则,航天术语 空间数据与信息传输,引用冲突,两个定义均引用不同国家标准（GB/T 31075—2014 与 GB/T18391.1—2009），且引用来源不同导致定义依据不同。
元数据,科技平台 元数据汇交报文格式的设计规则,土壤科学数据元数据,引用冲突,两个定义均引用不同国家标准（GB/T 31075—2014 与 GB/T18391.1—2009），且引用来源不同导致规定依据不同。
元数据,科技平台 元数据汇交报文格式的设计规则,信息技术 云数据存储和管理 第5部分：基于键值（Key-Value）的云数据管理应用接口,领域冲突,两个定义将术语“元数据”归入不同领域（通用数据描述 vs. 特定数据库表结构信息），属概念和本质理解不同。
元数据,科技平台 元数据汇交报文格式的设计规则,固定资产核心元数据,范围冲突,定义1的指称对象是‘其他数据’，范围无限制；定义2限定为‘固定资产相关数据’，两者外延边界不同，存在归属争议。
元数据,科技平台 元数据汇交报文格式的设计规则,重要产品追溯 核心元数据,引用冲突,两个定义的内涵表述完全一致，但引用了不同的国家标准（GB/T 31075—2014 与 GB/T 18391.1—2009），依据引用来源不同可能导致规定矛盾。
元数据,科技平台 元数据汇交报文格式的设计规则,信息技术 学习、教育和培训 学习对象元数据,领域冲突,两个定义将术语“元数据”归入不同的应用领域（通用数据管理与教育技术领域），导致其属概念和本质理解不同。
元数据,科技平台 元数据汇交报文格式的设计规则,科技资源核心元数据,引用冲突,两个定义的内涵表述完全一致，但引用了不同的、且均为现行有效的国家标准作为依据，导致依据的权威来源规定不同。
元数据,科技平台 元数据汇交报文格式的设计规则,信息分类编码及元数据标准符合性测试要求,引用冲突,两个定义的核心内涵一致，但引用了不同版本或编号的权威标准作为依据，导致来源规定不一致。
元数据,科技平台 元数据汇交报文格式的设计规则,数字教材 中小学数字教材元数据,领域冲突,两个定义分别引用不同领域的国家标准（GB/T 31075—2014 与 GB/T 5271.17—2010），导致对术语“元数据”的属概念和本质理解（描述范围）存在学科视角差异。
元数据,科技平台 元数据汇交报文格式的设计规则,人类生物样本中医信息基本数据集,引用冲突,两个定义的内涵表述一致，但引用了不同且未声明等同关系的国家标准作为依据，构成引用冲突。
元数据,科技平台 元数据汇交报文格式的设计规则,基于云计算的电子政务公共平台服务规范 第3部分：数据管理,引用冲突,两个定义分别引用了不同的国家标准（GB/T 31075—2014 与 GB/T 19391），且未提供具体内容，导致依据的权威来源不同且可能产生规定矛盾。
元数据,科技平台 元数据汇交报文格式的设计规则,品牌评价 核心元数据规范,引用冲突,两个定义的内涵表述完全一致，但引用了不同的国家标准作为依据，导致规定来源矛盾。
元数据,科技平台 元数据汇交报文格式的设计规则,政府网站网页电子文件元数据,引用冲突,两个定义分别引用了不同的国家标准（GB/T 31075—2014 与 GB/T 18391.1—2009），且引用来源不同直接导致定义内容（一个给出了具体内涵，一个仅引用框架标准）不同，构成依据不同权威来源的规定差异。
元数据,科技平台 元数据汇交报文格式的设计规则,信息技术服务 治理 第5部分：数据治理规范,引用冲突,两个定义的内涵表述完全一致，但引用了不同的国家标准作为依据，导致规范性来源不同。
元数据,科技平台 元数据汇交报文格式的设计规则,基础地理信息数据库建设规范,引用冲突,两个定义引用了不同的国家标准（GB/T 31075—2014 与 GB/T 19710），且引用标准不同导致其具体规定内容存在潜在矛盾。
元数据,科技平台 元数据汇交报文格式的设计规则,信息与文献 国家科技重大专项档案元数据元素集,范围冲突,定义1的属概念为“数据”，定义2的属概念也为“数据”，属概念相同；但定义1的种差（定义和描述其他数据）与定义2的种差（描述文件的背景、内容、结构及其管理过程）所划定的指称对象外延不同，前者范围更广，后者限定于“文件”这一特定对象，导致对“元数据”概念边界的划定存在差异。
元数据,科技平台 元数据汇交报文格式的设计规则,信息技术 大数据 数据资源规划,领域冲突,两个定义将“元数据”归入不同领域（数据描述 vs. 组织内元模型管理），属概念和核心功能定位存在本质差异。
元数据,科技平台 元数据汇交报文格式的设计规则,基础地理信息数据质量要求与评定,引用冲突,两个定义分别引用了不同的国家标准（GB/T 31075—2014 与 GB/T 19710），且未提供具体内容，依据引用来源不同可能导致规定矛盾。
元数据,科技平台 元数据汇交报文格式的设计规则,智慧城市 数据融合 第4部分：开放共享要求,引用冲突,两个定义的核心内涵一致，但引用了不同版本或不同领域的国家标准作为依据，可能导致具体规定或应用上的差异。
元数据,科技平台 元数据汇交报文格式的设计规则,电子商务数据资产评价指标体系,范围冲突,定义2在定义1的基础上，额外扩展了元数据的外延，明确包含了关于数据拥有权、存储路径等管理属性的数据，导致两个定义对元数据概念边界的划定不同。
元数据,科技平台 元数据汇交报文格式的设计规则,陆地国界数据规范,范围冲突,定义1通过属概念和种差明确了元数据是描述其他数据的数据，而定义2仅列举了部分构成要素（定位信息和原始数据构成），两者对元数据外延边界的划定不同，导致某些描述数据（如数据格式、创建者信息等）可能仅符合定义1而不符合定义2。
元数据,科技平台 元数据汇交报文格式的设计规则,电子商务 产品核心元数据,引用冲突,两个定义的内涵表述完全一致，但引用了不同的国家标准（GB/T 31075—2014 与 GB/T 18391.1—2009），且这些标准分属不同领域，构成了基于不同权威来源的引用冲突。
元数据,科技平台 元数据汇交报文格式的设计规则,空间物体监测数据规范,范围冲突,定义1为通用内涵定义，定义2通过列举要素限定了特定领域（空间物体监测）的元数据外延，导致对同一术语指称对象的边界划定不同。
元数据,科技平台 元数据汇交报文格式的设计规则,科技平台 元数据汇交业务流程,范围冲突,定义1的指称对象是‘其他数据’，定义2限定为‘科技资源’，后者是前者的一个子集，导致外延边界划定不同。
元数据,科技平台 元数据汇交报文格式的设计规则,数字音乐元数据,引用冲突,两个定义分别引用了不同的权威标准（GB/T 31075—2014 与 ISO/IEC 11179），且引用来源不同是定义间的核心差异。
元数据,科技平台 服务核心元数据,公安物联网视频图像内容元数据描述规范,层级冲突,定义1的属概念是‘数据’，定义2的属概念是‘数据元素定义’，两者将术语归入不同的上位概念范畴。
元数据,科技平台 服务核心元数据,物联网 信息交换和共享 第3部分：元数据,范围冲突,定义1的指称对象是“其他数据”，定义2的指称对象是“物联网数据及其相关信息”，两者对术语外延的划定不同。
元数据,科技平台 服务核心元数据,基础地理信息本体范例数据规范,范围冲突,定义1为概括性描述，定义2通过注和引用明确了具体信息类型，导致对‘元数据’外延边界的划定存在差异。
元数据,科技平台 服务核心元数据,信息技术 大数据 术语,范围冲突,定义2的种差（包含数据描述、拥有权、存储路径等）比定义1（仅定义和描述）显著扩大了术语“元数据”所指称对象的外延范围。
元数据,科技平台 服务核心元数据,标准文献技术指标揭示数据规范,格式冲突,定义2未提供实质内涵定义，仅列出引用标准，导致无法按内涵定义逻辑进行要素拆解与对比。
元数据,科技平台 服务核心元数据,地理空间数据交换基本要求,领域冲突,两个定义将术语“元数据”归入不同的应用领域（通用数据管理与地理空间数据交换），导致其本质属性和限定范围不同。
元数据,科技平台 服务核心元数据,民用飞机飞行运行技术数据规范,层级冲突,两个定义将术语“元数据”归入了不同的上位概念（“数据”与“信息”），导致其层级定位不同。
元数据,科技平台 服务核心元数据,月球信息元数据,层级冲突,定义1的属概念为‘数据’，定义2的属概念为‘元数据信息’，两者属于不同的上位概念层级。
元数据,科技平台 服务核心元数据,地震现场应急指挥数据共享技术要求,范围冲突,定义1的属概念和种差（描述其他数据的数据）是定义2（描述地震现场应急指挥共享数据的数据）的上位概念，导致定义2的指称对象外延被定义1完全包含，两者边界划定不同。
元数据,科技平台 服务核心元数据,实景地图数据产品,引用冲突,定义2明确引用特定国家标准GB/T 19710—2005，而定义1未引用该标准，两者依据的权威来源不同，且未提供内容进行对比，依据引用来源不同可能导致规定矛盾。
元数据,科技平台 服务核心元数据,统计数据与元数据交换（SDMX） 第1部分：框架,层级冲突,定义1的属概念为‘数据’，定义2的属概念为‘概念’，导致术语的层级定位不同。
元数据,科技平台 服务核心元数据,地理信息 矢量数据模型与存储规范,格式冲突,定义2未提供内涵定义，缺少属概念和种差，不符合术语定义的写作规范。
元数据,科技平台 服务核心元数据,产品标签内容核心元数据,范围冲突,两个定义的核心属概念（关于数据的数据）一致，但定义2的种差（限定范围）明确包含了数据描述、拥有权、存储路径等更广泛的具体信息，而定义1的种差（定义和描述）范围更窄，导致对“元数据”外延的划定不同。
元数据,科技平台 服务核心元数据,信息技术 数据质量评价指标,程度冲突,属概念相同（均为“数据”），但定义2的种差（限定属性）比定义1更具体、范围更广，体现了对“元数据”描述内容在详细程度上的不同，而非直接矛盾。
元数据,科技平台 服务核心元数据,全息位置地图数据内容,范围冲突,定义1为概括性描述，定义2通过引用标准GB/T19710—2005进行了具体化，导致两者对“元数据”外延（信息范围）的划定存在差异。
元数据,科技平台 服务核心元数据,信息技术 云数据存储和管理 第5部分：基于键值（Key-Value）的云数据管理应用接口,格式冲突,定义2未提供术语“元数据”的内涵定义，而是描述了其包含内容并引用了其他标准，不符合内涵定义的基本写作规范，导致无法进行有效的属种差对比。
元数据,科技平台 服务核心元数据,信息技术 地址数据描述要求,范围冲突,定义1为概括性描述，定义2通过列举具体信息类型（如标识、质量等）限定了指称对象的范围，导致外延边界不同。
元数据,科技平台 服务核心元数据,固定资产核心元数据,范围冲突,定义2通过种差'固定资产相关'限定了元数据的描述对象范围，而定义1的范围是泛指'其他数据'，导致对非固定资产数据的归属在两定义间存在差异。
元数据,科技平台 服务核心元数据,信息技术 学习、教育和培训 学习对象元数据,范围冲突,定义1的指称对象是“其他数据”，定义2的指称对象是“学习对象信息”，两者外延边界不同，存在对象（如非学习对象的数据）在定义1下属于元数据而在定义2下不属于的情况。
元数据,科技平台 服务核心元数据,陆地观测卫星地面系统数据传输与交换接口要求,范围冲突,定义1为宽泛的内涵定义，定义2通过引用标准给出了具体限定信息，导致两者对术语外延（指称对象范围）的划定不同。
元数据,科技平台 服务核心元数据,车载导航地理数据采集处理技术规程,范围冲突,定义2在定义1的基础上增加了‘包括准确度信息’这一外延限定，导致两个定义对‘元数据’所指称对象的边界划定不同。
元数据,科技平台 服务核心元数据,基于云计算的电子政务公共平台服务规范 第3部分：数据管理,引用冲突,定义2直接引用GB/T 19391进行定义，与定义1的直接定义构成不同权威来源引用，且未提供内容进行对比，依据引用来源不同可能导致规定矛盾。
元数据,科技平台 服务核心元数据,气象观测资料汇交元数据,程度冲突,属概念相同（均为“数据”），但定义2通过列举具体信息项（标识、时间属性等）对“描述”进行了更具体和限定性的说明，而定义1的“描述”更为宽泛，两者在描述的详细程度和具体化水平上存在差异。
元数据,科技平台 服务核心元数据,政府网站网页电子文件元数据,引用冲突,定义1为内涵定义，定义2仅引用另一标准，两者依据的权威来源不同且未提供可对比的内涵要素。
元数据,科技平台 服务核心元数据,信息与文献 国家科技重大专项档案元数据元素集,范围冲突,定义1的指称对象是“其他数据”，定义2的指称对象是“文件”，两者对术语外延的划定不同，导致同一对象（如描述数据库的数据）可能在一个定义下属于元数据，在另一个定义下不属于。
元数据,科技平台 服务核心元数据,信息技术 大数据 数据资源规划,层级冲突,定义1的属概念是‘数据’，定义2的属概念是‘元模型’或‘组织结构’，两者属于不同的上位概念体系。
元数据,科技平台 服务核心元数据,基础地理信息数据质量要求与评定,引用冲突,定义2直接引用GB/T 19710，与定义1的独立定义构成不同权威来源，且未提供内容进行直接对比，依据引用来源不同可能导致规定矛盾。
元数据,科技平台 服务核心元数据,电子商务数据资产评价指标体系,范围冲突,定义2的种差（包含数据拥有权、存储路径等管理信息）显著扩展了定义1的种差（仅定义和描述），导致指称对象的外延边界不同。
元数据,科技平台 服务核心元数据,陆地国界数据规范,层级冲突,定义1的属概念是‘数据’，定义2的属概念是‘信息’，两者属于不同的上位概念范畴。
元数据,科技平台 服务核心元数据,空间物体监测数据规范,范围冲突,定义1为通用内涵定义，定义2通过列举具体要素限定了特定领域（空间物体监测）的元数据外延，导致对同一术语指称对象的边界划定不同。
元数据,科技平台 服务核心元数据,科技平台 元数据汇交业务流程,层级冲突,两个定义将“元数据”归入不同的上位概念（属），定义1为“数据”，定义2为“描述性数据”，导致层级定位不同。
元数据,元数据的XML Schema置标规则,公安物联网视频图像内容元数据描述规范,层级冲突,定义1的属概念为'数据'，定义2的属概念为'数据元素定义'，两者属于不同的上位概念层级。
元数据,元数据的XML Schema置标规则,物联网 信息交换和共享 第3部分：元数据,领域冲突,两个定义将术语“元数据”归入不同领域（通用信息技术与物联网领域），导致其属概念（描述对象）的本质理解不同。
元数据,元数据的XML Schema置标规则,信息技术 大数据 术语,范围冲突,定义2的种差（包含数据拥有权、存储路径等描述）比定义1（仅定义和描述其他数据）的限定范围更广，导致部分数据对象在定义2下属于元数据，在定义1下可能不属于。
元数据,元数据的XML Schema置标规则,地理空间数据交换基本要求,范围冲突,定义1是通用的内涵定义，定义2是特定领域（地理空间数据交换）的应用性说明，两者对术语指称对象的外延边界划定不同。
元数据,元数据的XML Schema置标规则,民用飞机飞行运行技术数据规范,层级冲突,两个定义将术语“元数据”归入了不同的上位概念（“数据”与“信息”），导致其层级定位不同。
元数据,元数据的XML Schema置标规则,月球信息元数据,格式冲突,定义2缺少属概念且结构失范，无法按内涵定义逻辑进行有效对比。
元数据,元数据的XML Schema置标规则,图书版权资产核心元数据,范围冲突,两个定义的核心属概念（关于数据的数据）一致，但定义2的种差（“可能包括其数据描述”及关于拥有权、路径等的数据）显著扩展了术语的指称对象范围，导致某些数据（如关于数据拥有权的数据）在定义2下属于元数据，在定义1下可能不属于。
元数据,元数据的XML Schema置标规则,光学遥感测绘卫星影像产品元数据,范围冲突,定义1的属概念为“数据”，外延覆盖所有数据；定义2的属概念虽同为“数据”，但种差将其限定为“关于影像数据的”，外延明显小于定义1，导致对象（如描述非影像数据的元数据）在定义1下属于，在定义2下不属于。
元数据,元数据的XML Schema置标规则,地震现场应急指挥数据共享技术要求,范围冲突,定义1的属概念为“数据”，定义2的属概念也为“数据”，种差本质一致（描述其他数据），但定义2通过“地震现场应急指挥共享数据”和具体包含内容将指称对象的外延限定在特定领域，导致其范围是定义1的一个真子集，存在归属争议。
元数据,元数据的XML Schema置标规则,实景地图数据产品,引用冲突,两个定义分别引用了不同的国家标准（GB/T 18391.1—2009 与 GB/T 19710—2005），且未提供具体定义内容，仅依据引用来源不同即可判定为引用冲突。
元数据,元数据的XML Schema置标规则,统计数据与元数据交换（SDMX） 第1部分：框架,层级冲突,定义1的属概念为“数据”，定义2的属概念为“表示特定的概念”，两者将术语归入不同的上位范畴。
元数据,元数据的XML Schema置标规则,地理信息 矢量数据模型与存储规范,格式冲突,定义2未提供内涵定义，缺少属概念和种差，不符合术语定义写作规范。
元数据,元数据的XML Schema置标规则,产品标签内容核心元数据,范围冲突,两个定义属概念相同（均为“数据”），但定义2的种差（增加了关于所有权、路径、访问权等描述）显著扩展了术语“元数据”的指称对象范围，导致部分对象在定义2下属于元数据，在定义1下可能不属于。
元数据,元数据的XML Schema置标规则,信息技术 数据质量评价指标,范围冲突,两个定义属概念相同，但定义2的种差（包含数据描述、拥有权、路径等）显著扩展了定义1的边界，导致指称对象外延不同。
元数据,元数据的XML Schema置标规则,信息技术 云数据存储和管理 第5部分：基于键值（Key-Value）的云数据管理应用接口,格式冲突,定义2缺少属概念且结构失范，无法按内涵定义逻辑进行有效对比。
元数据,元数据的XML Schema置标规则,固定资产核心元数据,范围冲突,定义1的指称对象是‘其他数据’，外延宽泛；定义2限定为‘固定资产相关数据’，外延狭窄，导致后者所指对象是前者的真子集，边界划定不同。
元数据,元数据的XML Schema置标规则,信息技术 学习、教育和培训 学习对象元数据,范围冲突,定义1的指称对象是‘其他数据’，定义2的指称对象是‘学习对象信息的数据’，后者是前者的一个子集，导致外延边界划定不同。
元数据,元数据的XML Schema置标规则,车载导航地理数据采集处理技术规程,范围冲突,定义2在定义1的基础上增加了“包括准确度信息”这一外延限定，导致两个定义对元数据外延边界的划定不同。
元数据,元数据的XML Schema置标规则,基于云计算的电子政务公共平台服务规范 第3部分：数据管理,引用冲突,两个定义引用了不同的标准来源（GB/T 18391.1—2009 与 GB/T 19391），且未表明这些标准对术语的定义是否一致，导致依据的权威规定存在潜在矛盾。
元数据,元数据的XML Schema置标规则,政府网站网页电子文件元数据,格式冲突,定义2仅引用标准名称，未提供内涵定义，缺少属概念和种差，违反术语定义写作规范。
元数据,元数据的XML Schema置标规则,信息与文献 国家科技重大专项档案元数据元素集,范围冲突,两个定义对术语“元数据”指称对象的外延划定不同，定义1的“其他数据”范围更广，定义2的“文件”范围更具体，导致存在属于定义1但不属于定义2的对象（如描述数据库表的数据）。
元数据,元数据的XML Schema置标规则,信息技术 大数据 数据资源规划,格式冲突,定义2缺少明确的属概念，且其表述更像是对“元模型”或“组织结构”的描述，而非对“元数据”本身的内涵定义，结构失范。
元数据,元数据的XML Schema置标规则,基础地理信息数据质量要求与评定,引用冲突,两个定义引用了不同的标准（GB/T 18391.1—2009 与 GB/T 19710），且未提供具体内容，依据引用来源不同可能导致规定矛盾。
元数据,元数据的XML Schema置标规则,电子商务数据资产评价指标体系,范围冲突,两个定义的核心属概念（关于数据的数据）一致，但定义2的种差（增加了关于数据拥有权、存储路径等管理属性）显著扩展了术语的指称对象范围，导致部分对象（如仅描述数据本身的数据）在定义1下属于、在定义2下可能不属于，或反之。
元数据,元数据的XML Schema置标规则,陆地国界数据规范,层级冲突,两个定义将“元数据”归入不同的上位概念（“数据”与“信息”），导致层级定位不同。
元数据,元数据的XML Schema置标规则,空间物体监测数据规范,范围冲突,定义1将元数据描述为所有数据的定义和描述数据，而定义2将其限定为特定领域（空间物体监测）数据的定义和说明信息，导致外延边界不同。
元数据,元数据的XML Schema置标规则,科技平台 元数据汇交业务流程,领域冲突,两个定义将术语“元数据”归入不同领域（通用数据管理与科技资源管理）的上位概念，导致对术语本质和范畴的理解不同。
元数据,公安物联网视频图像内容元数据描述规范,物联网 信息交换和共享 第3部分：元数据,层级冲突,定义1的属概念为“数据元素定义”，定义2的属概念为“数据”，两者属于不同的上位概念层级。
元数据,公安物联网视频图像内容元数据描述规范,基础地理信息本体范例数据规范,层级冲突,定义1的属概念为“数据元素定义”，定义2的属概念为“关于数据的数据”，两者属于不同的上位概念范畴。
元数据,公安物联网视频图像内容元数据描述规范,信息技术 大数据 术语,层级冲突,定义1将'元数据'的属概念定位为'数据元素定义'，定义2将其定位为'关于数据或数据元素的数据'，两者属于不同的上位概念层级。
元数据,公安物联网视频图像内容元数据描述规范,标准文献技术指标揭示数据规范,引用冲突,两个定义分别引用了完全不同的、且均为权威性的标准体系（公安数据元标准 vs. 多项通用国家标准），导致对术语的具体规定和内涵界定依据不同。
